"Study","Site","Version","ES.Metric","Value","N","Reverse","Label"
"Vohs","Budapest","RP:P","d",-0.00499993750117185,58,"no","Vohs RP:P"
"Vohs","Dortmund","RP:P","d",-0.0648631210826801,69,"no","Vohs RP:P"
"Risen","University of Pennsylvania ","Revised","g",0.0454200859263954,311,"no","Risen Revised"
"Risen","Berkeley","Revised","g",-0.111924550627213,177,"no","Risen Revised"
"Risen","Stanford","Revised","g",-0.0494899571573642,67,"no","Risen Revised"
"Risen","University of Virginia","Revised","g",0.0233913295394927,146,"no","Risen Revised"
"van Dijk","Boston College","Revised","d",0.0846945914398115,26,"no","van Dijk Revised"
"van Dijk","University of Goettingen","Revised","d",0.109340479152898,31,"no","van Dijk Revised"
"van Dijk","Maria Curie-Sklodowska University","Revised","d",0.278524450245832,27,"no","van Dijk Revised"
"van Dijk","Universidad de los Andes","Revised","d",0.379353281135444,35,"no","van Dijk Revised"
"Vohs","Miami University","Revised","d",0.0399680383488716,72,"no","Vohs Revised"
"Vohs","Winchester","Revised","d",0.0449545065814817,72,"no","Vohs Revised"
"Vohs","Basel","Revised","d",0.119145220618431,71,"no","Vohs Revised"
"Vohs","Budapest","Revised","d",0.260665852290765,57,"no","Vohs Revised"
"Vohs","Dortmund","Revised","d",-0.200823620215616,70,"no","Vohs Revised"
"Albarracin S5","MTurk","RP:P","r",0.04,580,"no","Albarracin S5 RP:P"
"Forster","University of Presov","RP:P","rp",0.07,97,"no","Forster RP:P"
"Forster","Nova Southeastern University","RP:P","rp",0.06,97,"no","Forster RP:P"
"Forster","Kozminski University","RP:P","rp",0.05,77,"no","Forster RP:P"
"Forster","University of Kassel","RP:P","rp",0.07,110,"no","Forster RP:P"
"Forster","Hofstra University","RP:P","rp",0.1,56,"no","Forster RP:P"
"Forster","Universidade de Fortaleza","RP:P","rp",0.08,111,"no","Forster RP:P"
"Forster","Fort Lewis College","RP:P","rp",0.04,119,"no","Forster RP:P"
"Forster","Otto Friedrich Universitaet Bamberg","RP:P","rp",0.07,69,"no","Forster RP:P"
"LoBue","University of Belgrade","RP:P","r",-0.00266,57,"no","LoBue RP:P"
"LoBue","University of Nis","RP:P","r",0.145,104,"no","LoBue RP:P"
"LoBue","Layola Marymount University","RP:P","r",-0.148,57,"no","LoBue RP:P"
"LoBue","University of Novi Sad","RP:P","r",-0.041,68,"no","LoBue RP:P"
"Payne","University of Genova","RP:P","r",-0.021,135,"no","Payne RP:P"
"Payne","University of Milan-Bicocca","RP:P","r",-0.075,136,"no","Payne RP:P"
"Payne","University of Padova","RP:P","r",0.134,139,"no","Payne RP:P"
"Payne","University of Rome Sapienza","RP:P","r",0.141,135,"no","Payne RP:P"
"Albarracin S5","Ashland University","Revised","r",0.02,81,"no","Albarracin S5 Revised"
"Albarracin S5","Erasmus","Revised","r",0.06,146,"no","Albarracin S5 Revised"
"Albarracin S5","Ghent","Revised","r",0.12,86,"no","Albarracin S5 Revised"
"Albarracin S5","Illinois","Revised","r",0.25,81,"no","Albarracin S5 Revised"
"Albarracin S5","Oregon","Revised","r",0.05,174,"no","Albarracin S5 Revised"
"Albarracin S5","Queens","Revised","r",0.06,100,"no","Albarracin S5 Revised"
"Albarracin S5","Toronto","Revised","r",0.06,121,"no","Albarracin S5 Revised"
"Albarracin S5","Wesleyan","Revised","r",0.15,95,"no","Albarracin S5 Revised"
"Forster","University of Presov","Revised","rp",0.2,100,"no","Forster Revised"
"Forster","Nova Southeastern University","Revised","rp",0.14,81,"no","Forster Revised"
"Forster","Kozminski University","Revised","rp",0.03,95,"no","Forster Revised"
"Forster","University of Kassel","Revised","rp",0.09,120,"no","Forster Revised"
"Forster","Hofstra University","Revised","rp",0.22,47,"no","Forster Revised"
"Forster","Universidade de Fortaleza","Revised","rp",0.06,97,"no","Forster Revised"
"Forster","Fort Lewis College","Revised","rp",0.11,111,"no","Forster Revised"
"Forster","Otto Friedrich Universitaet Bamberg","Revised","rp",0.15,69,"no","Forster Revised"
"LoBue","University of Belgrade","Revised","r",0.0803,56,"no","LoBue Revised"
"LoBue","University of Nis","Revised","r",6.45e-08,80,"no","LoBue Revised"
"LoBue","Layola Marymount University","Revised","r",0.0158,57,"no","LoBue Revised"
"LoBue","University of Novi Sad","Revised","r",0.0608,66,"no","LoBue Revised"
"Payne","Pacific Lutheran University","Revised","r",-0.268,146,"no","Payne Revised"
"Payne","University of Central Florida","Revised","r",-0.363,106,"no","Payne Revised"
"Payne","University of Virginia","Revised","r",0.063,160,"no","Payne Revised"
"Payne","Virginia Commonwealth University","Revised","r",-0.076,146,"no","Payne Revised"
"Albarracin S7","Brigham Young University","RP:P","eta sq",-0.365123321632568,51,"yes","Albarracin S7 RP:P"
"Albarracin S7","Southern Illinois University","RP:P","eta sq",-0.108994697118713,57,"yes","Albarracin S7 RP:P"
"Albarracin S7","University of Texas at Dallas","RP:P","eta sq",-0.0422300011839924,174,"yes","Albarracin S7 RP:P"
"Shnabel","Texas A&M","RP:P","pseudo R2",-0.0829374342501623,186,"yes","Shnabel RP:P"
"Shnabel","St. Josephs","RP:P","pseudo R2",-0.011943408223786,279,"yes","Shnabel RP:P"
"Albarracin S7","Ashland University","Revised","eta sq",-0.182188726325204,46,"yes","Albarracin S7 Revised"
"Albarracin S7","Grand Valley State University","Revised","eta sq",-0.157388500215232,167,"yes","Albarracin S7 Revised"
"Albarracin S7","Michigan State University","Revised","eta sq",-0.0704645158927527,328,"yes","Albarracin S7 Revised"
"Albarracin S7","University of Texas at Dallas","Revised","eta sq",-0.100321682601519,165,"yes","Albarracin S7 Revised"
